;Variável;∆MAE (LOFO);∆MAE (Permutação);Média ∆MAE (Importância)
2;taxa_de_analfabetismo(%);0.012400795377592637;0.004532969653206962;0.0084668825153998
3;esperança_vida;0.0051303107845848865;0.007652596859001742;0.006391453821793314
1;renda_media;0.001790798910233423;0.0031362732471005364;0.0024635360786669797
5;crimes_renda;0.0024480028738990698;0.0013806270262289237;0.0019143149500639967
7;esperança_vida_renda;-0.00011380141376654898;0.0031954115272062192;0.0015408050567198351
4;crimes_porhab(100K);0.003426204894927205;-0.0006670558257111825;0.0013795745346080112
0;total_crimes;0.001880381615559341;4.7342658840565656e-05;0.0009638621371999532
6;crimes_educ;-0.0012022261975004871;0.0003023554788376013;-0.0004499353593314429
