;Variável;Diferença de Erro
6;crimes_educ;-0.0022973440113203186
7;esperança_vida_renda;-0.0012089192275863804
1;renda_media;0.0006956810964135916
0;total_crimes;0.0007852638017395094
5;crimes_renda;0.0013528850600792383
4;crimes_porhab(100K);0.0023310870811073733
3;esperança_vida;0.004035192970765055
2;taxa_de_analfabetismo(%);0.011305677563772806
